date,banxico_meeting_date_indicator,banxico_projection_materials_indicator,banxico_minutes_dates_indicator
2018-08-16,0,0,1
2018-08-29,0,1,0
2018-10-04,1,0,0
2018-10-18,0,0,1
2018-11-15,1,0,0
2018-11-28,0,1,0
2018-11-29,0,0,1
2018-12-20,1,0,0
2019-01-03,0,0,1
2019-02-07,1,0,0
2019-02-21,0,0,1
2019-02-27,0,1,0
2019-03-28,1,0,0
2019-04-11,0,0,1
2019-05-16,1,0,0
2019-05-29,0,1,0
2019-05-30,0,0,1
2019-06-27,1,0,0
2019-07-11,0,0,1
2019-08-15,1,0,0
2019-08-28,0,1,0
2019-08-29,0,0,1
2019-09-26,1,0,0
2019-10-10,0,0,1
2019-11-14,1,0,0
2019-11-27,0,1,0
2019-11-28,0,0,1
2019-12-19,1,0,0
2020-01-02,0,0,1
2020-02-13,1,0,0
2020-02-26,0,1,0
2020-02-27,0,0,1
2020-03-26,1,0,0
2020-04-03,0,0,1
2020-05-05,0,0,1
2020-05-14,1,0,0
2020-05-27,0,1,0
2020-05-28,0,0,1
2020-06-25,1,0,0
2020-07-09,0,0,1
2020-08-13,1,0,0
2020-08-26,0,1,0
2020-08-27,0,0,1
2020-09-24,1,0,0
2020-10-08,0,0,1
2020-11-12,1,0,0
2020-11-25,0,1,0
2020-11-26,0,0,1
2020-12-17,1,0,0
2021-01-07,0,0,1
2021-02-11,1,0,0
2021-02-25,0,0,1
2021-03-03,0,1,0
2021-03-25,1,0,0
2021-04-08,0,0,1
2021-05-13,1,0,0
2021-05-27,0,0,1
2021-06-02,0,1,0
2021-06-24,1,0,0
2021-07-08,0,0,1
2021-08-12,1,0,0
2021-08-26,0,0,1
2021-08-31,0,1,0
2021-09-30,1,0,0
2021-10-14,0,0,1
2021-11-11,1,0,0
2021-11-25,0,0,1
2021-12-01,0,1,0
2021-12-16,1,0,0
2022-01-06,0,0,1
2022-02-10,1,0,0
2022-02-24,0,0,1
2022-03-02,0,1,0
2022-03-24,1,0,0
2022-04-07,0,0,1
2022-05-12,1,0,0
2022-05-26,0,0,1
2022-06-01,0,1,0
2022-06-23,1,0,0
2022-07-07,0,0,1
2022-08-11,1,0,0
2022-08-25,0,0,1
2022-08-31,0,1,0
2022-09-29,1,0,0
2022-10-13,0,0,1
2022-11-10,1,0,0
2022-11-24,0,0,1
2022-11-30,0,1,0
2022-12-15,1,0,0
2023-01-05,0,0,1
2023-02-09,1,0,0
2023-02-14,1,0,0
2023-02-23,0,0,1
2023-03-01,0,1,0
2023-03-30,1,0,0
2023-04-13,0,0,1
2023-05-18,1,0,0
2023-05-31,0,1,0
2023-06-01,0,0,1
2023-06-22,1,0,0
2023-07-06,0,0,1
2023-08-10,1,0,0
2023-08-24,0,0,1
2023-08-30,0,1,0
2023-09-28,1,0,0
2023-10-12,0,0,1
2023-11-09,1,0,0
2023-11-23,0,0,1
2023-11-29,0,1,0
