date,ecb_meeting_date_indicator,ecb_non_scheduled_meeting_indicator,ecb_projection_materials_indicator,ecb_minutes_date_indicator
2015-06-03,1,0,1,0
2015-07-02,0,0,0,1
2015-07-16,1,0,0,0
2015-08-13,0,0,0,1
2015-09-03,1,0,1,0
2015-10-08,0,0,0,1
2015-10-22,1,0,0,0
2015-11-19,0,0,0,1
2015-12-03,1,0,1,0
2016-01-14,0,0,0,1
2016-01-21,1,0,0,0
2016-02-18,0,0,0,1
2016-03-10,1,0,1,0
2016-04-07,0,0,0,1
2016-04-21,1,0,0,0
2016-05-19,0,0,0,1
2016-06-02,1,0,1,0
2016-07-07,0,0,0,1
2016-07-21,1,0,0,0
2016-08-18,0,0,0,1
2016-09-08,1,0,1,0
2016-10-06,0,0,0,1
2016-10-20,1,0,0,0
2016-11-17,0,0,0,1
2016-12-08,1,0,1,0
2017-01-12,0,0,0,1
2017-01-19,1,0,0,0
2017-02-16,0,0,0,1
2017-03-09,1,0,1,0
2017-04-06,0,0,0,1
2017-04-27,1,0,0,0
2017-05-18,0,0,0,1
2017-06-08,1,0,1,0
2017-07-06,0,0,0,1
2017-07-20,1,0,0,0
2017-08-17,0,0,0,1
2017-09-07,1,0,1,0
2017-10-05,0,0,0,1
2017-10-26,1,0,0,0
2017-11-23,0,0,0,1
2017-12-14,1,0,1,0
2018-01-11,0,0,0,1
2018-01-25,1,0,0,0
2018-02-22,0,0,0,1
2018-03-08,1,0,1,0
2018-04-12,0,0,0,1
2018-04-26,1,0,0,0
2018-05-24,0,0,0,1
2018-06-14,1,0,1,0
2018-07-12,0,0,0,1
2018-07-26,1,0,0,0
2018-08-23,0,0,0,1
2018-09-13,1,0,1,0
2018-10-11,0,0,0,1
2018-10-25,1,0,0,0
2018-11-22,0,0,0,1
2018-12-13,1,0,1,0
2019-01-10,0,0,0,1
2019-01-24,1,0,0,0
2019-02-21,0,0,0,1
2019-03-07,1,0,1,0
2019-04-04,0,0,0,1
2019-04-10,1,0,0,0
2019-05-23,0,0,0,1
2019-06-06,1,0,1,0
2019-07-11,0,0,0,1
2019-07-25,1,0,0,0
2019-08-22,0,0,0,1
2019-09-12,1,0,1,0
2019-10-10,0,0,0,1
2019-10-24,1,0,0,0
2019-11-21,0,0,0,1
2019-12-12,1,0,1,0
2020-01-16,0,0,0,1
2020-01-23,1,0,0,0
2020-02-20,0,0,0,1
2020-03-12,1,0,1,0
2020-04-09,0,0,0,1
2020-04-30,1,0,0,0
2020-05-22,0,0,0,1
2020-06-04,1,0,1,0
2020-06-25,0,0,0,1
2020-07-16,1,0,0,0
2020-08-20,0,0,0,1
2020-09-10,1,0,1,0
2020-10-08,0,0,0,1
2020-10-29,1,0,0,0
2020-11-26,0,0,0,1
2020-12-10,1,0,1,0
2021-01-14,0,0,0,1
2021-01-21,1,0,0,0
2021-02-18,0,0,0,1
2021-03-11,1,0,1,0
2021-04-08,0,0,0,1
2021-04-22,1,0,0,0
2021-05-14,0,0,0,1
2021-06-10,1,0,1,0
2021-07-09,0,0,0,1
2021-07-22,1,0,0,0
2021-08-26,0,0,0,1
2021-09-09,1,0,1,0
2021-10-07,0,0,0,1
2021-10-28,1,0,0,0
2021-11-25,0,0,0,1
2021-12-16,1,0,1,0
2022-01-20,0,0,0,1
2022-02-03,1,0,0,0
2022-03-03,0,0,0,1
2022-03-10,1,0,1,0
2022-04-07,0,0,0,1
2022-04-14,1,0,0,0
2022-05-19,0,0,0,1
2022-06-09,1,0,1,0
2022-06-15,1,1,0,0
2022-07-07,0,0,0,1
2022-07-21,1,0,0,0
2022-08-25,0,0,0,1
2022-09-08,1,0,1,0
2022-10-06,0,0,0,1
2022-10-27,1,0,0,0
2022-11-24,0,0,0,1
2022-12-15,1,0,1,0
2023-01-19,0,0,0,1
2023-02-02,1,0,0,0
2023-03-02,0,0,0,1
2023-03-16,1,0,1,0
2023-04-20,0,0,0,1
2023-05-04,1,0,0,0
2023-06-01,0,0,0,1
2023-06-15,1,0,1,0
2023-07-13,0,0,0,1
