"fomc_activity_date","fomc_meeting_date_indicator","fomc_non_scheduled_meeting_indicator","fomc_projection_materials_indicator","fomc_minutes_date_indicator"
1992-03-31,1,0,0,0
1992-05-19,1,0,0,0
1992-07-01,1,0,0,0
1992-07-02,1,1,0,0
1992-08-18,1,0,0,0
1992-10-06,1,0,0,0
1992-11-17,1,0,0,0
1992-12-14,1,1,0,0
1992-12-22,1,0,0,0
1993-01-06,1,1,0,0
1993-02-03,1,0,0,0
1993-02-18,1,1,0,0
1993-03-01,1,1,0,0
1993-03-23,1,0,0,0
1993-03-26,0,0,0,1
1993-05-18,1,0,0,0
1993-05-21,0,0,0,1
1993-07-07,1,0,0,0
1993-07-09,0,0,0,1
1993-08-17,1,0,0,0
1993-08-20,0,0,0,1
1993-09-21,1,0,0,0
1993-09-24,0,0,0,1
1993-10-05,1,1,0,0
1993-10-15,1,1,0,0
1993-10-22,1,1,0,0
1993-11-09,1,1,0,0
1993-11-10,1,1,0,0
1993-11-16,1,0,0,0
1993-11-19,0,0,0,1
1993-12-03,0,0,0,1
1993-12-21,1,0,0,0
1994-02-03,1,0,0,0
1994-02-04,0,0,0,1
1994-02-24,1,1,0,0
1994-03-22,1,0,0,0
1994-03-24,1,1,0,0
1994-03-25,0,0,0,1
1994-04-18,1,1,0,0
1994-05-17,1,0,0,0
1994-05-20,0,0,0,1
1994-07-06,1,0,0,0
1994-07-08,0,0,0,1
1994-07-20,1,1,0,0
1994-08-16,1,0,0,0
1994-08-19,0,0,0,1
1994-09-27,1,0,0,0
1994-09-30,0,0,0,1
1994-11-15,1,0,0,0
1994-11-18,0,0,0,1
1994-12-20,1,0,0,0
1994-12-22,0,0,0,1
1994-12-30,1,1,0,0
1995-01-13,1,1,0,0
1995-02-01,1,0,0,0
1995-02-03,0,0,0,1
1995-03-10,1,1,0,0
1995-03-28,1,0,0,0
1995-03-31,0,0,0,1
1995-04-28,1,1,0,0
1995-05-23,1,0,0,0
1995-05-26,0,0,0,1
1995-07-06,1,0,0,0
1995-07-07,0,0,0,1
1995-08-22,1,0,0,0
1995-08-25,0,0,0,1
1995-09-26,1,0,0,0
1995-09-29,0,0,0,1
1995-11-15,1,0,0,0
1995-11-17,0,0,0,1
1995-12-19,1,0,0,0
1995-12-22,0,0,0,1
1996-01-31,1,0,0,0
1996-02-02,0,0,0,1
1996-03-26,1,0,0,0
1996-03-29,0,0,0,1
1996-05-21,1,0,0,0
1996-05-24,0,0,0,1
1996-07-03,1,0,0,0
1996-07-05,0,0,0,1
1996-08-20,1,0,0,0
1996-08-23,0,0,0,1
1996-09-24,1,0,0,0
1996-09-27,0,0,0,1
1996-11-13,1,0,0,0
1996-11-15,0,0,0,1
1996-12-17,1,0,0,0
1996-12-20,0,0,0,1
1997-02-05,1,0,0,0
1997-02-06,0,0,0,1
1997-03-25,1,0,0,0
1997-03-27,0,0,0,1
1997-05-20,1,0,0,0
1997-05-22,0,0,0,1
1997-07-02,1,0,0,0
1997-07-03,0,0,0,1
1997-08-21,0,0,0,1
1997-08-29,1,0,0,0
1997-09-30,1,0,0,0
1997-10-02,0,0,0,1
1997-11-12,1,0,0,0
1997-11-13,0,0,0,1
1997-12-16,1,0,0,0
1997-12-18,0,0,0,1
1998-02-04,1,0,0,0
1998-02-05,0,0,0,1
1998-03-31,1,0,0,0
1998-04-02,0,0,0,1
1998-05-19,1,0,0,0
1998-05-21,0,0,0,1
1998-07-01,1,0,0,0
1998-07-02,0,0,0,1
1998-08-18,1,0,0,0
1998-08-20,0,0,0,1
1998-09-21,1,1,0,0
1998-09-29,1,0,0,0
1998-10-01,0,0,0,1
1998-10-15,1,1,0,0
1998-11-17,1,0,0,0
1998-11-19,0,0,0,1
1998-12-22,1,0,0,0
1998-12-23,0,0,0,1
1999-02-03,1,0,0,0
1999-02-04,0,0,0,1
1999-03-30,1,0,0,0
1999-04-01,0,0,0,1
1999-05-18,1,0,0,0
1999-05-20,0,0,0,1
1999-06-30,1,0,0,0
1999-07-01,0,0,0,1
1999-08-24,1,0,0,0
1999-08-26,0,0,0,1
1999-10-05,1,0,0,0
1999-10-07,0,0,0,1
1999-11-16,1,0,0,0
1999-11-18,0,0,0,1
1999-12-21,1,0,0,0
1999-12-23,0,0,0,1
2000-02-02,1,0,0,0
2000-02-03,0,0,0,1
2000-03-21,1,0,0,0
2000-03-23,0,0,0,1
2000-05-16,1,0,0,0
2000-05-18,0,0,0,1
2000-06-28,1,0,0,0
2000-06-29,0,0,0,1
2000-08-22,1,0,0,0
2000-08-24,0,0,0,1
2000-10-03,1,0,0,0
2000-10-05,0,0,0,1
2000-11-15,1,0,0,0
2000-11-16,0,0,0,1
2000-12-19,1,0,0,0
2000-12-21,0,0,0,1
2001-01-03,1,1,0,0
2001-01-03,0,0,0,1
2001-01-31,1,0,0,0
2001-02-01,0,0,0,1
2001-03-20,1,0,0,0
2001-03-22,0,0,0,1
2001-04-11,1,1,0,0
2001-04-11,0,0,0,1
2001-04-18,1,1,0,0
2001-04-18,0,0,0,1
2001-05-15,1,0,0,0
2001-05-17,0,0,0,1
2001-06-27,1,0,0,0
2001-06-28,0,0,0,1
2001-08-21,1,0,0,0
2001-08-23,0,0,0,1
2001-09-13,1,1,0,0
2001-09-13,0,0,0,1
2001-09-17,1,1,0,0
2001-09-17,0,0,0,1
2001-10-02,1,0,0,0
2001-10-04,0,0,0,1
2001-11-06,1,0,0,0
2001-11-08,0,0,0,1
2001-12-11,1,0,0,0
2001-12-13,0,0,0,1
2002-01-30,1,0,0,0
2002-01-31,0,0,0,1
2002-03-19,1,0,0,0
2002-03-21,0,0,0,1
2002-05-07,1,0,0,0
2002-05-09,0,0,0,1
2002-06-26,1,0,0,0
2002-06-27,0,0,0,1
2002-08-13,1,0,0,0
2002-08-15,0,0,0,1
2002-09-24,1,0,0,0
2002-09-26,0,0,0,1
2002-11-06,1,0,0,0
2002-11-07,0,0,0,1
2002-12-10,1,0,0,0
2002-12-12,0,0,0,1
2003-01-29,1,0,0,0
2003-01-30,0,0,0,1
2003-03-18,1,0,0,0
2003-03-20,0,0,0,1
2003-03-25,1,1,0,0
2003-03-25,0,0,0,1
2003-04-01,1,1,0,0
2003-04-01,0,0,0,1
2003-04-08,1,1,0,0
2003-04-08,0,0,0,1
2003-04-16,1,1,0,0
2003-04-16,0,0,0,1
2003-05-06,1,0,0,0
2003-05-08,0,0,0,1
2003-06-25,1,0,0,0
2003-06-26,0,0,0,1
2003-08-12,1,0,0,0
2003-08-14,0,0,0,1
2003-09-15,1,0,0,0
2003-09-15,0,0,0,1
2003-09-16,1,0,0,0
2003-09-18,0,0,0,1
2003-10-28,1,0,0,0
2003-10-30,0,0,0,1
2003-12-09,1,0,0,0
2003-12-11,0,0,0,1
2004-01-28,1,0,0,0
2004-01-29,0,0,0,1
2004-03-16,1,0,0,0
2004-03-18,0,0,0,1
2004-05-04,1,0,0,0
2004-05-06,0,0,0,1
2004-06-30,1,0,0,0
2004-07-01,0,0,0,1
2004-08-10,1,0,0,0
2004-08-12,0,0,0,1
2004-09-21,1,0,0,0
2004-09-23,0,0,0,1
2004-11-10,1,0,0,0
2004-11-11,0,0,0,1
2004-12-14,1,0,0,0
2004-12-16,0,0,0,1
2005-01-04,0,0,0,1
2005-02-02,1,0,0,0
2005-02-23,0,0,0,1
2005-03-22,1,0,0,0
2005-04-12,0,0,0,1
2005-05-03,1,0,0,0
2005-05-24,0,0,0,1
2005-06-30,1,0,0,0
2005-07-21,0,0,0,1
2005-08-09,1,0,0,0
2005-08-30,0,0,0,1
2005-09-20,1,0,0,0
2005-10-11,0,0,0,1
2005-11-01,1,0,0,0
2005-11-22,0,0,0,1
2005-12-13,1,0,0,0
2006-01-03,0,0,0,1
2006-01-31,1,0,0,0
2006-02-21,0,0,0,1
2006-03-28,1,0,0,0
2006-04-18,0,0,0,1
2006-05-10,1,0,0,0
2006-05-31,0,0,0,1
2006-06-29,1,0,0,0
2006-07-20,0,0,0,1
2006-08-08,1,0,0,0
2006-08-29,0,0,0,1
2006-09-20,1,0,0,0
2006-10-11,0,0,0,1
2006-10-25,1,0,0,0
2006-11-15,0,0,0,1
2006-12-12,1,0,0,0
2007-01-03,0,0,0,1
2007-01-31,1,0,0,0
2007-02-21,0,0,0,1
2007-03-21,1,0,0,0
2007-04-11,0,0,0,1
2007-05-09,1,0,0,0
2007-05-30,0,0,0,1
2007-06-28,1,0,0,0
2007-07-19,0,0,0,1
2007-08-07,1,0,0,0
2007-08-10,1,1,0,0
2007-08-16,1,1,0,0
2007-08-28,0,0,0,1
2007-09-18,1,0,0,0
2007-10-09,0,0,0,1
2007-10-09,0,0,0,1
2007-10-09,0,0,0,1
2007-10-31,1,0,1,0
2007-11-20,0,0,0,1
2007-12-06,1,1,0,0
2007-12-11,1,0,0,0
2008-01-02,0,0,0,1
2008-01-02,0,0,0,1
2008-01-09,1,1,0,0
2008-01-21,1,1,0,0
2008-01-30,1,0,1,0
2008-02-20,0,0,0,1
2008-02-20,0,0,0,1
2008-02-20,0,0,0,1
2008-03-10,1,1,0,0
2008-03-18,1,0,0,0
2008-04-08,0,0,0,1
2008-04-08,0,0,0,1
2008-04-30,1,0,0,0
2008-05-21,0,0,0,1
2008-06-25,1,0,1,0
2008-07-16,0,0,0,1
2008-07-24,1,1,0,0
2008-08-05,1,0,0,0
2008-08-26,0,0,0,1
2008-08-26,0,0,0,1
2008-09-16,1,0,0,0
2008-09-27,1,1,0,0
2008-10-07,1,1,0,0
2008-10-07,0,0,0,1
2008-10-29,1,0,0,0
2008-11-19,0,0,0,1
2008-11-19,0,0,0,1
2008-11-19,0,0,0,1
2008-12-16,1,0,0,0
2009-01-06,0,0,0,1
2009-01-16,1,1,0,0
2009-01-28,1,0,1,0
2009-02-07,1,1,0,0
2009-02-18,0,0,0,1
2009-02-18,0,0,0,1
2009-03-18,1,0,0,0
2009-04-08,0,0,0,1
2009-04-08,0,0,0,1
2009-04-29,1,0,1,0
2009-05-20,0,0,0,1
2009-06-03,1,1,0,0
2009-06-24,1,0,1,0
2009-07-15,0,0,0,1
2009-07-15,0,0,0,1
2009-08-12,1,0,0,0
2009-09-02,0,0,0,1
2009-09-23,1,0,0,0
2009-10-14,0,0,0,1
2009-11-04,1,0,1,0
2009-11-24,0,0,0,1
2009-12-15,1,0,0,0
2010-01-06,0,0,0,1
2010-01-27,1,0,1,0
2010-02-17,0,0,0,1
2010-03-16,1,0,0,0
2010-04-06,0,0,0,1
2010-04-28,1,0,1,0
2010-05-09,1,1,0,0
2010-05-19,0,0,0,1
2010-06-23,1,0,1,0
2010-06-23,0,0,0,1
2010-07-14,0,0,0,1
2010-08-10,1,0,0,0
2010-08-31,0,0,0,1
2010-09-21,1,0,0,0
2010-10-12,0,0,0,1
2010-10-15,1,1,0,0
2010-11-03,1,0,1,0
2010-11-03,0,0,0,1
2010-11-23,0,0,0,1
2010-12-14,1,0,0,0
2011-01-04,0,0,0,1
2011-01-26,1,0,1,0
2011-02-16,0,0,0,1
2011-03-15,1,0,0,0
2011-04-05,0,0,0,1
2011-04-27,1,0,1,0
2011-05-18,0,0,0,1
2011-06-22,1,0,1,0
2011-07-12,0,0,0,1
2011-08-01,1,1,0,0
2011-08-09,1,0,0,0
2011-08-09,0,0,0,1
2011-08-30,0,0,0,1
2011-09-21,1,0,0,0
2011-10-12,0,0,0,1
2011-11-02,1,0,1,0
2011-11-22,0,0,0,1
2011-11-28,1,1,0,0
2011-12-13,1,0,0,0
2011-12-13,0,0,0,1
2012-01-03,0,0,0,1
2012-01-25,1,0,1,0
2012-02-15,0,0,0,1
2012-03-13,1,0,0,0
2012-04-03,0,0,0,1
2012-04-25,1,0,1,0
2012-05-16,0,0,0,1
2012-06-20,1,0,1,0
2012-07-11,0,0,0,1
2012-07-31,1,0,0,0
2012-08-22,0,0,0,1
2012-09-13,1,0,1,0
2012-10-04,0,0,0,1
2012-10-24,1,0,0,0
2012-11-14,0,0,0,1
2012-12-12,1,0,1,0
2013-01-03,0,0,0,1
2013-01-30,1,0,0,0
2013-02-20,0,0,0,1
2013-03-20,1,0,1,0
2013-04-10,0,0,0,1
2013-05-01,1,0,0,0
2013-05-22,0,0,0,1
2013-06-19,1,0,1,0
2013-07-10,0,0,0,1
2013-07-31,1,0,0,0
2013-08-21,0,0,0,1
2013-09-18,1,0,1,0
2013-10-09,0,0,0,1
2013-10-16,1,1,0,0
2013-10-30,1,0,0,0
2013-11-20,0,0,0,1
2013-11-20,0,0,0,1
2013-12-18,1,0,1,0
2014-01-08,0,0,0,1
2014-01-29,1,0,0,0
2014-02-19,0,0,0,1
2014-03-04,1,1,0,0
2014-03-19,1,0,1,0
2014-04-09,0,0,0,1
2014-04-09,0,0,0,1
2014-04-30,1,0,0,0
2014-05-21,0,0,0,1
2014-06-18,1,0,1,0
2014-07-09,0,0,0,1
2014-07-30,1,0,0,0
2014-08-20,0,0,0,1
2014-09-17,1,0,1,0
2014-10-08,0,0,0,1
2014-10-29,1,0,0,0
2014-11-19,0,0,0,1
2014-12-17,1,0,1,0
2015-01-07,0,0,0,1
2015-01-28,1,0,0,0
2015-02-18,0,0,0,1
2015-03-18,1,0,1,0
2015-04-08,0,0,0,1
2015-04-29,1,0,0,0
2015-05-20,0,0,0,1
2015-06-17,1,0,1,0
2015-07-08,0,0,0,1
2015-07-29,1,0,0,0
2015-08-19,0,0,0,1
2015-09-17,1,0,1,0
2015-10-08,0,0,0,1
2015-10-28,1,0,0,0
2015-11-18,0,0,0,1
2015-12-16,1,0,1,0
2016-01-06,0,0,0,1
2016-01-27,1,0,0,0
2016-02-17,0,0,0,1
2016-03-16,1,0,1,0
2016-04-06,0,0,0,1
2016-04-27,1,0,0,0
2016-05-18,0,0,0,1
2016-06-15,1,0,1,0
2016-07-06,0,0,0,1
2016-07-27,1,0,0,0
2016-08-17,0,0,0,1
2016-09-21,1,0,1,0
2016-10-12,0,0,0,1
2016-11-02,1,0,0,0
2016-11-23,0,0,0,1
2016-12-14,1,0,1,0
2017-01-04,0,0,0,1
2017-01-27,1,0,0,0
2017-02-22,0,0,0,1
2017-03-15,1,0,1,0
2017-04-05,0,0,0,1
2017-05-03,1,0,0,0
2017-05-24,0,0,0,1
2017-06-14,1,0,1,0
2017-07-05,0,0,0,1
2017-07-26,1,0,0,0
2017-08-16,0,0,0,1
2017-09-20,1,0,1,0
2017-10-11,0,0,0,1
2017-11-01,1,0,0,0
2017-11-22,0,0,0,1
2017-12-13,1,0,1,0
2018-01-03,0,0,0,1
2018-01-31,1,0,0,0
2018-02-21,0,0,0,1
2018-03-21,1,0,1,0
2018-04-11,0,0,0,1
2018-05-02,1,0,0,0
2018-05-23,0,0,0,1
2018-06-13,1,0,1,0
2018-07-05,0,0,0,1
2018-08-01,1,0,0,0
2018-08-22,0,0,0,1
2018-09-26,1,0,1,0
2018-10-17,0,0,0,1
2018-11-08,1,0,0,0
2018-11-29,0,0,0,1
2018-12-19,1,0,1,0
2019-01-09,0,0,0,1
2019-01-30,1,0,0,0
2019-02-20,0,0,0,1
2019-03-20,1,0,1,0
2019-04-10,0,0,0,1
2019-05-01,1,0,0,0
2019-05-22,0,0,0,1
2019-06-19,1,0,1,0
2019-07-10,0,0,0,1
2019-07-31,1,0,0,0
2019-08-21,0,0,0,1
2019-09-18,1,0,1,0
2019-10-04,1,1,0,0
2019-10-09,0,0,0,1
2019-10-30,1,0,0,0
2019-11-20,0,0,0,1
2019-11-20,0,0,0,1
2019-12-11,1,0,1,0
2020-01-03,0,0,0,1
2020-01-27,1,0,0,0
2020-02-19,0,0,0,1
2020-03-03,1,1,0,0
2020-03-15,1,1,0,0
2020-03-15,0,0,0,1
2020-03-19,1,1,0,0
2020-03-23,1,1,0,0
2020-03-31,1,1,0,0
2020-04-08,0,0,0,1
2020-04-29,1,0,0,0
2020-05-20,0,0,0,1
2020-06-10,1,0,1,0
2020-07-01,0,0,0,1
2020-07-29,1,0,0,0
2020-08-19,0,0,0,1
2020-08-27,1,1,0,0
2020-09-16,1,1,1,0
2020-10-07,0,0,0,1
2020-11-05,1,0,0,0
2020-11-25,0,0,0,1
2020-12-16,1,0,1,0
2021-01-06,0,0,0,1
2021-01-27,1,0,0,0
2021-02-17,0,0,0,1
2021-03-17,1,0,1,0
2021-04-07,0,0,0,1
2021-04-28,1,1,0,0
2021-05-19,0,0,0,1
2021-06-16,1,0,1,0
2021-07-07,0,0,0,1
2021-07-28,1,1,0,0
2021-08-18,0,0,0,1
2021-09-22,1,0,1,0
2021-10-13,0,0,0,1
2021-11-03,1,0,0,0
2021-11-24,0,0,0,1
2021-12-15,1,0,1,0
2022-01-05,0,0,0,1
2022-01-26,1,0,0,0
2022-02-16,0,0,0,1
2022-03-16,1,0,1,0
2022-04-06,0,0,0,1
2022-05-04,1,0,0,0
2022-05-25,0,0,0,1
2022-06-15,1,0,1,0
2022-07-06,0,0,0,1
2022-07-27,1,0,0,0
2022-08-17,0,0,0,1
2022-09-21,1,0,1,0
2022-10-12,0,0,0,1
2022-11-02,1,0,0,0
2022-11-23,0,0,0,1
2022-12-14,1,0,1,0
2023-01-04,0,0,0,1
2023-02-02,1,0,0,0
2023-02-23,0,0,0,1
2023-03-23,1,0,1,0
2023-04-12,0,0,0,1
2023-05-04,1,0,0,0
2023-05-24,0,0,0,1
2023-06-15,1,0,1,0
2023-07-05,0,0,0,1
2023-07-27,1,0,0,0
2023-08-16,0,0,0,1
2023-09-21,1,0,1,0
2023-10-11,0,0,0,1
